tag,doc_code,subtype_code,use_code,description,attribute,description_attr
DATE                                              ,0,0,1,Date                                              ,CALENDAR                                          ,Calendar                                          
FRIENDSASSOCIATES                                 ,2,0,1,"Friends, Associates                               ",                                                  ,                                                  
GEOGHERITAGE                                      ,2,0,1,Geographical Heritage                             ,                                                  ,                                                  
BIRTHNAME                                         ,2,0,0,Birth Name                                        ,REG                                               ,                                                  
DATERANGE                                         ,0,0,0,                                                  ,TO                                                ,                                                  
DIVORCE                                           ,1,4,1,Divorce                                           ,                                                  ,                                                  
GEOG                                              ,5,0,0,Geography (country or continent)                  ,                                                  ,                                                  
RLANDMARKTEXT                                     ,1,4,1,Landmark Text                                     ,                                                  ,                                                  
RSELFDESCRIPTION                                  ,1,4,1,Self-description (of writing)                     ,                                                  ,                                                  
DATE                                              ,1,4,0,Date                                              ,CERTAINTY                                         ,                                                  
DATESTRUCT                                        ,0,0,0,                                                  ,CERTAINTY                                         ,                                                  
GEOG                                              ,1,5,1,Geography (country or continent)                  ,                                                  ,                                                  
CAUSE                                             ,1,4,1,Cause of Death                                    ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,0,Political Affiliation                             ,REG                                               ,                                                  
DATE                                              ,2,0,0,Date                                              ,VALUE                                             ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,RESP                                              ,                                                  
SEXUALIDENTITY                                    ,1,4,0,Sexual Identity                                   ,REG                                               ,                                                  
STANDARD                                          ,0,0,0,                                                  ,                                                  ,                                                  
INDEXED                                           ,2,0,1,Indexed Form of Name                              ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
TVOICENARRATION                                   ,0,0,1,Voice or Narration                                ,                                                  ,                                                  
VOLUME_ID                                         ,5,0,0,                                                  ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,CHRONCOLUMN1                                      ,Chronology Column1                                
PSEUDONYM                                         ,2,0,1,Pseudonym                                         ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,                                                  ,                                                  
GEOG                                              ,0,0,1,Geography (country or continent)                  ,                                                  ,                                                  
DENOMINATION                                      ,2,0,0,Denomination                                      ,REG                                               ,                                                  
KEYWORDCLASS                                      ,1,5,0,Keyword                                           ,KEYWORDTYPE                                       ,                                                  
REMUNERATION                                      ,2,0,1,Remuneration (non-literary)                       ,                                                  ,                                                  
LANGUAGE                                          ,2,0,1,Language (within Cultural Formation)              ,COMPETENCE                                        ,Competence                                        
SERIES                                            ,5,0,0,                                                  ,                                                  ,                                                  
ORGNAME                                           ,1,5,0,Organization Name                                 ,REG                                               ,                                                  
SCHOOL                                            ,1,4,1,School                                            ,INSTITUTIONLEVEL                                  ,Institution Level                                 
TIME                                              ,0,0,0,                                                  ,                                                  ,                                                  
PMODEOFPUBLICATION                                ,1,4,1,Mode of Publication                               ,PUBLICATIONMODE                                   ,Publication Mode                                  
TCHARACTERNAME                                    ,0,0,0,Character Name                                    ,REG                                               ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,                                                  ,                                                  
PSUBMISSIONSREJECTIONS                            ,0,0,1,"Submissions, Rejections                           ",                                                  ,                                                  
SETTLEMENT                                        ,2,0,0,"Settlement (city, town, village)                  ",CURRENT                                           ,                                                  
PINFLUENCESHER                                    ,1,4,1,Influences Her                                    ,                                                  ,                                                  
RDESTRUCTIONOFWORK                                ,1,4,1,Destruction of Work                               ,                                                  ,                                                  
DATE_OF_ORIGINAL_PUBLICATION                      ,5,0,0,                                                  ,EMENDED                                           ,                                                  
SIC                                               ,1,5,0,                                                  ,                                                  ,                                                  
DATE_OF_PUBLICATION                               ,5,0,0,                                                  ,NO_DATE                                           ,                                                  
DAY                                               ,2,0,0,                                                  ,                                                  ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,CALENDAR                                          ,                                                  
GEOG                                              ,2,0,0,Geography (country or continent)                  ,REG                                               ,                                                  
GIVEN                                             ,2,0,0,Given Name                                        ,REG                                               ,                                                  
TITLE                                             ,1,5,1,Title (of text)                                   ,TITLETYPE                                         ,Title Type                                        
BIRTHNAME                                         ,2,0,1,Birth Name                                        ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
DAY                                               ,0,0,0,                                                  ,VALUE                                             ,                                                  
NAME                                              ,1,5,1,Name                                              ,                                                  ,                                                  
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,RELEVANCE                                         ,Relevance                                         
PEARNINGS                                         ,1,4,1,Earnings (literary)                               ,                                                  ,                                                  
SIC                                               ,0,0,0,                                                  ,                                                  ,                                                  
CHRONPROSE                                        ,1,5,0,                                                  ,                                                  ,                                                  
SCHOOL                                            ,2,0,1,School                                            ,                                                  ,                                                  
SCHOOL                                            ,2,0,1,School                                            ,RELIGIOUS                                         ,Religious                                         
YEAR                                              ,1,5,0,                                                  ,                                                  ,                                                  
RDESTRUCTIONOFWORK                                ,1,4,1,Destruction of Work                               ,DESTROYEDBY                                       ,Destroyed By                                      
TITLE                                             ,6,0,1,Title (of text)                                   ,                                                  ,                                                  
TITLE                                             ,0,0,1,Title (of text)                                   ,                                                  ,                                                  
NOTE                                              ,0,0,0,                                                  ,                                                  ,                                                  
TMOTIF                                            ,0,0,1,Motif                                             ,                                                  ,                                                  
DIV0                                              ,2,0,0,                                                  ,                                                  ,                                                  
TITLE                                             ,2,0,0,Title (of text)                                   ,REG                                               ,                                                  
ORGNAME                                           ,1,5,0,Organization Name                                 ,ORGTYPE                                           ,                                                  
BIBCITS                                           ,0,0,0,                                                  ,                                                  ,                                                  
SETTLEMENT                                        ,6,0,1,"Settlement (city, town, village)                  ",                                                  ,                                                  
SCHOLARNOTE                                       ,5,0,1,Scholarly note                                    ,                                                  ,                                                  
CORR                                              ,2,0,0,                                                  ,RESP                                              ,                                                  
STANDARD                                          ,2,0,0,                                                  ,WROTEORPUBLISHEDAS                                ,                                                  
DIV1                                              ,0,0,0,                                                  ,                                                  ,                                                  
RRECOGNITIONS                                     ,0,0,1,Recognitions (literary)                           ,                                                  ,                                                  
PLACENAME                                         ,1,4,1,Placename (e.g. building name)                    ,                                                  ,                                                  
DEGREE                                            ,1,4,1,Degree                                            ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,1,Political Affiliation                             ,MEMBERSHIP                                        ,Membership                                        
TCHARACTERTYPEROLE                                ,1,4,1,Character Type or Role                            ,                                                  ,                                                  
DATE                                              ,1,5,0,Date                                              ,CERTAINTY                                         ,                                                  
MEMBER                                            ,2,0,1,Member of Family                                  ,                                                  ,                                                  
PCIRCULATION                                      ,1,4,1,Circulation                                       ,                                                  ,                                                  
CHILDREN                                          ,2,0,1,Children                                          ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,CHRONCOLUMN3                                      ,Chronology Column3                                
TSETTINGDATE                                      ,0,0,1,Setting Date                                      ,                                                  ,                                                  
SEASON                                            ,2,0,0,                                                  ,                                                  ,                                                  
CAUSE                                             ,1,4,0,Cause of Death                                    ,REG                                               ,                                                  
TTHEMETOPIC                                       ,1,4,1,Theme or Topic (treated in text)                  ,                                                  ,                                                  
ADDRESS                                           ,1,5,0,Address (within place)                            ,REG                                               ,                                                  
TITLE                                             ,1,4,1,Title (of text)                                   ,                                                  ,                                                  
TITLE                                             ,0,0,1,Title (of text)                                   ,TITLETYPE                                         ,Title Type                                        
NICKNAME                                          ,2,0,1,Nickname                                          ,                                                  ,                                                  
PSUBMISSIONSREJECTIONS                            ,1,4,1,"Submissions, Rejections                           ",                                                  ,                                                  
DENOMINATION                                      ,1,4,1,Denomination                                      ,                                                  ,                                                  
NATIONALITY                                       ,2,0,1,Nationality                                       ,                                                  ,                                                  
RRESPONSES                                        ,0,0,1,Responses (literary)                              ,RESPONSETYPE                                      ,Response Type                                     
DATESTRUCT                                        ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
PADVERTISING                                      ,0,0,1,Advertising                                       ,                                                  ,                                                  
CHRONPROSE                                        ,0,0,0,                                                  ,                                                  ,                                                  
TEXT                                              ,2,0,1,Text (formative)                                  ,                                                  ,                                                  
MONTH                                             ,1,5,0,                                                  ,VALUE                                             ,                                                  
NATIONALHERITAGE                                  ,2,0,1,National Heritage                                 ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
BIBCIT                                            ,1,5,0,Bibliographic Citation                            ,QTDIN                                             ,Quoted In                                         
SEPARATION                                        ,1,4,1,Separation (marital)                              ,                                                  ,                                                  
SETTLEMENT                                        ,0,0,0,"Settlement (city, town, village)                  ",REG                                               ,                                                  
SIGNIFICANTACTIVITY                               ,1,4,1,Significant Activity (unpaid)                     ,                                                  ,                                                  
SETTLEMENT                                        ,2,0,0,"Settlement (city, town, village)                  ",REG                                               ,                                                  
TOPIC                                             ,1,4,0,Topic                                             ,                                                  ,                                                  
AWARD                                             ,1,4,0,Award (educational)                               ,REG                                               ,                                                  
EXTENTOFOEUVRE                                    ,0,0,1,Extent of Oeuvre                                  ,                                                  ,                                                  
TCHARACTERNAME                                    ,1,4,0,Character Name                                    ,REG                                               ,                                                  
SIC                                               ,1,4,0,                                                  ,                                                  ,                                                  
NAME                                              ,1,4,0,Name                                              ,STANDARD                                          ,                                                  
SEASON                                            ,0,0,0,                                                  ,CERTAINTY                                         ,                                                  
POLITICALAFFILIATION                              ,1,4,0,Political Affiliation                             ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
TVOICENARRATION                                   ,1,4,1,Voice or Narration                                ,                                                  ,                                                  
GEOG                                              ,1,5,0,Geography (country or continent)                  ,CURRENT                                           ,                                                  
KEYWORDCLASS                                      ,2,0,0,Keyword                                           ,                                                  ,                                                  
PMOTIVES                                          ,1,4,1,Motives (literary)                                ,MOTIVETYPE                                        ,Motive Type                                       
BIRTHPOSITION                                     ,1,4,1,Birth Position                                    ,POSITION                                          ,Position                                          
PERSONNAME                                        ,2,0,1,Person Name                                       ,                                                  ,                                                  
SCHOOL                                            ,1,4,1,School                                            ,STUDENTBODY                                       ,Student Body                                      
AUTHOR_ROLE                                       ,5,0,0,                                                  ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,1,Political Affiliation                             ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
CHRONPROSE                                        ,1,4,0,                                                  ,                                                  ,                                                  
ADDRESS                                           ,2,0,0,Address (within place)                            ,REG                                               ,                                                  
JOB                                               ,1,4,1,Job                                               ,FAMILYBUSINESS                                    ,Family Business                                   
PUBLISHER                                         ,5,0,0,                                                  ,STANDARD                                          ,                                                  
DATAITEM                                          ,2,0,0,                                                  ,                                                  ,                                                  
PLITERARYSCHOOLS                                  ,0,0,1,Literary Schools                                  ,                                                  ,                                                  
SCHOLARNOTES                                      ,1,4,0,                                                  ,                                                  ,                                                  
FOREIGN                                           ,2,0,0,                                                  ,LANG                                              ,                                                  
BIBCIT                                            ,2,0,1,Bibliographic Citation                            ,                                                  ,                                                  
DATE_OF_ACCESS                                    ,5,0,0,                                                  ,NO_DATE                                           ,                                                  
PLACENAME                                         ,1,4,0,Placename (e.g. building name)                    ,CURRENT                                           ,                                                  
PAUTHORSHIP                                       ,1,4,1,Authorship                                        ,COLLABORATION                                     ,Collaboration                                     
ADDRESS                                           ,1,4,0,Address (within place)                            ,REG                                               ,                                                  
JOB                                               ,1,4,1,Job                                               ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
PNONBOOKMEDIA                                     ,0,0,1,Non Book Media                                    ,                                                  ,                                                  
TEXTSCOPE                                         ,0,0,0,                                                  ,PLACEHOLDER                                       ,                                                  
SCHOOL                                            ,1,4,1,School                                            ,INSTITUTION                                       ,Institution                                       
PLACENAME                                         ,2,0,0,Placename (e.g. building name)                    ,CURRENT                                           ,                                                  
PUBLISHER                                         ,5,0,0,                                                  ,                                                  ,                                                  
SEASON                                            ,1,5,0,                                                  ,                                                  ,                                                  
SEPARATION                                        ,2,0,1,Separation (marital)                              ,                                                  ,                                                  
SCHOLARNOTE                                       ,1,4,1,Scholarly note                                    ,                                                  ,                                                  
JOB                                               ,2,0,1,Job                                               ,HISTORICALTERM                                    ,Historical Term                                   
SIGNIFICANTACTIVITY                               ,2,0,1,Significant Activity (unpaid)                     ,                                                  ,                                                  
DATE_OF_ORIGINAL_PUBLICATION                      ,5,0,0,                                                  ,                                                  ,                                                  
SCHOLARNOTES                                      ,5,0,0,                                                  ,                                                  ,                                                  
NAME                                              ,2,0,0,Name                                              ,STANDARD                                          ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,EXACT                                             ,                                                  
TINTERTEXTUALITY                                  ,1,4,1,Intertextuality                                   ,GENDEROFAUTHOR                                    ,Gender of Author                                  
DATERANGE                                         ,2,0,0,                                                  ,EXACT                                             ,                                                  
ROYAL                                             ,2,0,0,Royal Name                                        ,REG                                               ,                                                  
PLACENAME                                         ,0,0,0,Placename (e.g. building name)                    ,CURRENT                                           ,                                                  
YEAR                                              ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
HEADING                                           ,2,0,0,Heading                                           ,                                                  ,                                                  
SETTLEMENT                                        ,0,0,1,"Settlement (city, town, village)                  ",                                                  ,                                                  
TITLE                                             ,0,0,0,Title (of text)                                   ,REND                                              ,                                                  
PPRICE                                            ,0,0,1,Price                                             ,                                                  ,                                                  
PLITERARYSCHOOLS                                  ,1,4,1,Literary Schools                                  ,INVOLVEMENT                                       ,Involvement                                       
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,                                                  ,                                                  
CAUSE                                             ,2,0,0,Cause of Death                                    ,REG                                               ,                                                  
GIVEN                                             ,2,0,1,Given Name                                        ,                                                  ,                                                  
ADDRESS                                           ,2,0,0,Address (within place)                            ,CURRENT                                           ,                                                  
SETTLEMENT                                        ,2,0,1,"Settlement (city, town, village)                  ",                                                  ,                                                  
DATE                                              ,5,0,1,Date                                              ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,ROLE                                              ,                                                  
ADDRESS                                           ,1,4,0,Address (within place)                            ,CURRENT                                           ,                                                  
SUBJECT                                           ,1,4,0,Subject (of study)                                ,REG                                               ,                                                  
MONTH                                             ,0,0,0,                                                  ,                                                  ,                                                  
INTIMATERELATIONSHIPS                             ,2,0,1,Intimate Relationships                            ,                                                  ,                                                  
PPRESSRUN                                         ,0,0,1,Press Run                                         ,                                                  ,                                                  
DEGREE                                            ,1,4,0,Degree                                            ,REG                                               ,                                                  
ORGNAME                                           ,1,4,0,Organization Name                                 ,STANDARD                                          ,                                                  
GEOGHERITAGE                                      ,2,0,0,Geographical Heritage                             ,REG                                               ,                                                  
SCHOLARNOTES                                      ,1,5,0,                                                  ,                                                  ,                                                  
RRECOGNITIONNAME                                  ,0,0,0,Recognition Name                                  ,REG                                               ,                                                  
TMOTIF                                            ,0,0,0,Motif                                             ,PROPOSEDALTERNATIVENAME                           ,                                                  
DATE                                              ,5,0,0,Date                                              ,VALUE                                             ,                                                  
BIRTHPOSITION                                     ,2,0,1,Birth Position                                    ,                                                  ,                                                  
RELIGION                                          ,2,0,1,Religion                                          ,                                                  ,                                                  
TINTERTEXTUALITY                                  ,0,0,1,Intertextuality                                   ,INTERTEXTTYPE                                     ,Intertext Type                                    
CLASS                                             ,1,4,1,Class                                             ,SOCIALRANK                                        ,Social Rank                                       
AUTHORITY                                         ,2,0,0,                                                  ,                                                  ,                                                  
TCHARACTERTYPEROLE                                ,0,0,1,Character Type or Role                            ,                                                  ,                                                  
PCIRCULATION                                      ,0,0,1,Circulation                                       ,                                                  ,                                                  
NICKNAME                                          ,2,0,0,Nickname                                          ,REG                                               ,                                                  
TITLE                                             ,2,0,0,Title (of text)                                   ,REND                                              ,                                                  
LOCATION                                          ,2,0,1,Location (in writer's life)                       ,                                                  ,                                                  
DOCTITLE                                          ,2,0,0,                                                  ,                                                  ,                                                  
DENOMINATION                                      ,1,4,0,Denomination                                      ,REG                                               ,                                                  
PCOPYRIGHT                                        ,0,0,1,Copyright                                         ,                                                  ,                                                  
DATE                                              ,1,5,1,Date                                              ,                                                  ,                                                  
ORGNAME                                           ,2,0,0,Organization Name                                 ,STANDARD                                          ,                                                  
REMUNERATION                                      ,1,4,1,Remuneration (non-literary)                       ,                                                  ,                                                  
BIBCIT                                            ,1,4,0,Bibliographic Citation                            ,PLACEHOLDER                                       ,                                                  
RACECOLOUR                                        ,2,0,1,"Race, Colour                                      ",                                                  ,                                                  
NATIONALITYISSUE                                  ,2,0,1,Nationality Issue                                 ,                                                  ,                                                  
REGION                                            ,1,4,0,"Region (county, province, etc.)                   ",REG                                               ,                                                  
RESEARCHNOTES                                     ,1,5,0,                                                  ,                                                  ,                                                  
FOREIGN                                           ,5,0,0,                                                  ,                                                  ,                                                  
CLASS                                             ,2,0,0,Class                                             ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
CLASS                                             ,2,0,1,Class                                             ,SOCIALRANK                                        ,Social Rank                                       
MONTH                                             ,2,0,0,                                                  ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,0,Political Affiliation                             ,HISTORICALTERM                                    ,Historical Term                                   
TTECHNIQUES                                       ,0,0,1,Techniques                                        ,                                                  ,                                                  
MONTH                                             ,2,0,0,                                                  ,VALUE                                             ,                                                  
PDISPLACEMENTGEOGRAPHICAL                         ,0,0,0,Production: Displacement Geographical             ,                                                  ,                                                  
TITLE                                             ,1,4,0,Title (of text)                                   ,REG                                               ,                                                  
NICKNAME                                          ,2,0,1,Nickname                                          ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
SETTLEMENT                                        ,1,4,0,"Settlement (city, town, village)                  ",REG                                               ,                                                  
GEOG                                              ,0,0,0,Geography (country or continent)                  ,REG                                               ,                                                  
DATERANGE                                         ,1,4,0,                                                  ,TO                                                ,                                                  
PRARITIESFEATURESDECORATIONS                      ,0,0,1,"Rarities, Features, Decorations                   ",                                                  ,                                                  
SEXUALIDENTITY                                    ,2,0,0,Sexual Identity                                   ,HISTORICALTERM                                    ,Historical Term                                   
